"id","ciclo","data_ciclo_atual","data_ultimo_ciclo","notificacoes","time_stamp"
2,GERMINACAO,2025-04-14,,{},2025-04-14 16:16:44.674
1,MATURACAO,2025-04-14,2025-04-14,{},2025-04-14 16:20:29.122
3,MUDA,2025-04-14,2025-04-14,{},2025-04-14 16:20:48.680
4,MUDA,2025-04-14,2025-04-14,{},2025-04-14 16:20:57.757
8,CRESCIMENTO,2025-04-14,2025-04-14,{},2025-04-14 16:21:45.698
5,MUDA,2025-04-14,2025-04-14,{},2025-04-14 16:22:30.681
13,FLORACAO,2025-04-14,2025-04-14,{},2025-04-14 16:26:37.440
14,MATURACAO,2025-04-14,2025-04-14,{},2025-04-14 16:27:31.637
15,GERMINACAO,2025-04-14,,{},2025-04-14 16:36:48.694
16,GERMINACAO,2025-04-14,,{},2025-04-14 16:37:38.619
18,GERMINACAO,2025-04-14,,{},2025-04-14 16:38:21.640
19,GERMINACAO,2025-04-14,,{},2025-04-14 16:38:52.651
20,GERMINACAO,2025-04-14,,{},2025-04-14 16:39:13.822
21,GERMINACAO,2025-04-14,,{},2025-04-14 16:40:27.151
22,GERMINACAO,2025-04-14,,{},2025-04-14 16:41:15.954
23,GERMINACAO,2025-04-14,,{},2025-04-14 16:41:29.096
24,CRESCIMENTO,2025-04-15,2025-04-15,{},2025-04-15 19:23:59.774
10,FRUTIFICACAO,2025-04-17,2025-04-14,{},2025-04-17 22:21:16.874
9,FRUTIFICACAO,2025-04-20,2025-04-14,{},2025-04-20 13:31:21.419
6,MUDA,2025-04-21,2025-04-14,{},2025-04-21 11:51:43.298
7,FRUTIFICACAO,2025-04-21,2025-04-16,{},2025-04-21 11:52:04.011
12,FLORACAO,2025-04-21,2025-04-14,{},2025-04-21 11:53:15.097
11,FLORACAO,2025-04-21,2025-04-14,{},2025-04-21 11:53:54.278
17,MUDA,2025-04-21,2025-04-14,{},2025-04-21 11:54:59.609
