"id","area","disponivel","eixox","eixoy","referencia","time_stamp"
6,Pimenteiras,false,3,2,C 3 x L 2,2025-04-14 16:12:41.860
9,Pimenteiras,false,3,3,C 3 x L 3,2025-04-14 16:12:41.919
8,Pimenteiras,false,2,3,C 2 x L 3,2025-04-14 16:12:41.902
7,Pimenteiras,false,1,3,C 1 x L 3,2025-04-14 16:12:41.889
4,Pimenteiras,false,1,2,C 1 x L 2,2025-04-14 16:12:41.811
5,Pimenteiras,false,2,2,C 2 x L 2,2025-04-14 16:12:41.836
1,Pimenteiras,false,1,1,C 1 x L 1,2025-04-14 16:12:41.345
2,Pimenteiras,false,2,1,C 2 x L 1,2025-04-14 16:12:41.749
3,Pimenteiras,false,3,1,C 3 x L 1,2025-04-14 16:12:41.778
13,Produção,true,1,2,C 1 x L 2,2025-04-14 16:23:14.047
14,Produção,true,2,2,C 2 x L 2,2025-04-14 16:23:14.064
15,Produção,true,3,2,C 3 x L 2,2025-04-14 16:23:14.081
12,Produção,false,3,1,C 3 x L 1,2025-04-14 16:23:13.994
11,Produção,false,2,1,C 2 x L 1,2025-04-14 16:23:13.979
10,Produção,false,1,1,C 1 x L 1,2025-04-14 16:23:13.962
16,Produção,false,1,3,C 1 x L 3,2025-04-14 16:23:14.091
18,Produção,false,3,3,C 3 x L 3,2025-04-14 16:23:14.135
17,Produção,false,2,3,C 2 x L 3,2025-04-15 19:23:38.420
